id;number;name;function;floor;coordX;coordY;radius;doorsX;doorsY;navigationPointConnection;aliases
63;1.6.18;laboratorium 1.6.18;LABORATORY;12;1432;661;50;1513;598;64;cw 1.6.18, 1.6.18 cw, centrum wyk³adowe sala 1.6.18, centrum wyk³adowe 1.6.18
64;1.6.19;laboratorium 1.6.19;LABORATORY;12;1142;452;45;1205;408;65;cw 1.6.19, 1.6.19 cw, centrum wyk³adowe sala 1.6.19, centrum wyk³adowe 1.6.19
65;1.6.20;laboratorium 1.6.20;LABORATORY;12;1117;305;60;1205;318;78;cw 1.6.20, 1.6.20 cw, centrum wyk³adowe sala 1.6.20, centrum wyk³adowe 1.6.20
66;1.6.21;laboratorium 1.6.21;LABORATORY;12;1346;305;60;1351;380;68;cw 1.6.21, 1.6.21 cw, centrum wyk³adowe sala 1.6.21, centrum wyk³adowe 1.6.21
67;1.6.22;laboratorium 1.6.22;LABORATORY;12;1531;305;60;1550;380;68;cw 1.6.22, 1.6.22 cw, centrum wyk³adowe sala 1.6.22, centrum wyk³adowe 1.6.22
68;1.6.23;laboratorium 1.6.23;LABORATORY;12;1722;305;60;1747;380;68;cw 1.6.23, 1.6.23 cw, centrum wyk³adowe sala 1.6.23, centrum wyk³adowe 1.6.23
69;108;sala 108;LECTURE;12;900;1989;25;878;1895;79;cw 108, 108 cw, centrum wyk³adowe sala 108, centrum wyk³adowe 108
70;122;sala 122;LECTURE;12;1652;1594;120;1587;1496;60;cw 122, 122 cw, centrum wyk³adowe sala 122, centrum wyk³adowe 122
71;123;sala 123;LECTURE;12;1409;1842;120;1334;1778;60;cw 123, 123 cw, centrum wyk³adowe sala 123, centrum wyk³adowe 123
72;125;sala 125;LECTURE;12;1134;1450;90;1027;1453;66;cw 125, 125 cw, centrum wyk³adowe sala 125, centrum wyk³adowe 125
73;126;sala 126;LECTURE;12;1332;1423;70;1332;1541;60;cw 126, 126 cw, centrum wyk³adowe sala 126, centrum wyk³adowe 126
74;127;sala 127;LECTURE;12;1179;1223;80;1027;1229;66;cw 127, 127 cw, centrum wyk³adowe sala 127, centrum wyk³adowe 127
75;128;sala 128;LECTURE;12;1120;1011;80;1027;1019;66;cw 128, 128 cw, centrum wyk³adowe sala 128, centrum wyk³adowe 128
76;;toaleta damska;RESTROOM;12;1308;487;50;1254;471;65;toaleta damska, wc damskie, ³azienka damska
77;;toaleta mêska;RESTROOM;12;1471;487;50;1533;470;64;toaleta mêska, wc mêskie, ³azienka mêska
78;;toaleta damska;RESTROOM;12;707;1789;50;864;1743;66;toaleta damska, wc damskie, ³azienka damska
79;;toaleta mêska;RESTROOM;12;695;1680;50;863;1678;66;toaleta mêska, wc mêskie, ³azienka mêska
80;;toaleta dla niepe³nosprawnych;RESTROOM;12;808;1714;30;839;1714;66;toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych
81;51;sala 051;LECTURE;11;1109;226;100;982;329;76;cw 051, 051 cw, centrum wyk³adowe sala 051, centrum wyk³adowe 051
82;53;sala 053;LECTURE;11;1627;323;190;1825;481;70;cw 053, 053 cw, centrum wyk³adowe sala 053, centrum wyk³adowe 053
83;21;sala 021;LECTURE;11;1425;1623;90;1351;1536;73;cw 021, 021 cw, centrum wyk³adowe sala 021, centrum wyk³adowe 021
84;22;sala 022;LECTURE;11;1295;1794;50;1205;1734;73;cw 022, 022 cw, centrum wyk³adowe sala 022, centrum wyk³adowe 022
85;23;sala 023;LECTURE;11;797;1857;70;775;1779;77;cw 023, 023 cw, centrum wyk³adowe sala 023, centrum wyk³adowe 023
86;24;sala 024;LECTURE;11;617;1857;40;665;1779;77;cw 024, 024 cw, centrum wyk³adowe sala 024, centrum wyk³adowe 024
