id;name;address;coordX;coordY;width;height;aliases;imageResource;markerImageResource
1;Centrum Wykładowo-Konferencyjne Politechniki Poznańskiej;ul. Piotrowo 2, 60-965, Poznań ;52.4037039;16.949444;150;2;CW;cw_ic;cw_marker
2;Elektryk;Piotrowo 3a;52.401972;16.951360;70;10;el,elektryk;we_ic;el_marker
3;Budowa maszyn;Piotrowo 3;52.402357;16.950573;70;10;bm;bm_ic;bm_marker
