id;coordX;coordY;floor;type
189;2897;915;18;NAVIGATION;14
190;2262;1182;18;NAVIGATION;15
191;2808;1182;18;NAVIGATION;16
192;2262;1339;18;NAVIGATION;17
193;1758;1338;18;NAVIGATION;
194;1234;916;18;NAVIGATION;
195;994;1046;18;SPECIAL;18
196;1212;1038;18;SPECIAL;19
197;2382;1038;18;SPECIAL;20
198;1816;1522;18;SPECIAL;21
199;1750;908;18;SPECIAL;22
200;1831;908;18;SPECIAL;23
201;1117;410;19;NAVIGATION;1
202;1363;471;19;NAVIGATION;2
203;2053;748;19;NAVIGATION;3
204;2053;916;19;NAVIGATION;4
205;2262;916;19;NAVIGATION;5
206;2262;865;19;NAVIGATION;6
207;2691;865;19;NAVIGATION;7
208;2691;1300;19;NAVIGATION;8
209;1331;1300;19;NAVIGATION;9
210;1331;1243;19;NAVIGATION;10
211;1331;916;19;NAVIGATION;11
212;893;1243;19;NAVIGATION;12
213;702;1243;19;NAVIGATION;13
214;921;872;19;NAVIGATION;14
215;989;1005;19;SPECIAL;15
216;1204;1002;19;SPECIAL;16
217;2374;1002;19;SPECIAL;17
218;1817;1491;19;SPECIAL;18
219;1742;871;19;SPECIAL;19
220;1818;871;19;SPECIAL;20
221;910;996;19;NAVIGATION;21
222;1773;916;19;NAVIGATION;22
223;1742;1300;19;NAVIGATION;23
224;1742;1474;19;NAVIGATION;24
225;417;796;19;ENTRY;
226;3122;807;19;ENTRY;
227;838;402;20;NAVIGATION;1
228;1280;402;20;NAVIGATION;2
229;1579;402;20;NAVIGATION;3
230;1661;431;20;NAVIGATION;4
231;2234;431;20;NAVIGATION;5
232;2380;404;20;NAVIGATION;6
233;2637;404;20;NAVIGATION;7
234;2928;404;20;NAVIGATION;8
235;2637;778;20;NAVIGATION;9
236;2234;778;20;NAVIGATION;10
237;2234;832;20;NAVIGATION;11
238;1280;832;20;NAVIGATION;12
239;1280;770;20;NAVIGATION;13
240;838;770;20;NAVIGATION;14
241;927;529;20;SPECIAL;15
242;1154;529;20;SPECIAL;16
243;2373;529;20;SPECIAL;17
244;1811;1037;20;SPECIAL;18
245;1713;387;20;SPECIAL;19
246;1796;387;20;SPECIAL;20
247;838;530;20;NAVIGATION;21
248;1208;402;20;NAVIGATION;22
249;1793;832;20;NAVIGATION;23
250;692;250;21;NAVIGATION;1
251;1176;250;21;NAVIGATION;2
252;1560;250;21;NAVIGATION;3
253;1587;277;21;NAVIGATION;4
254;2237;277;21;NAVIGATION;5
255;2460;237;21;NAVIGATION;6
256;2690;237;21;NAVIGATION;7
257;2690;650;21;NAVIGATION;8
258;3087;650;21;NAVIGATION;9
259;2237;650;21;NAVIGATION;10
260;2237;716;21;NAVIGATION;11
261;1656;716;21;NAVIGATION;12
262;1656;938;21;NAVIGATION;13
263;1176;716;21;NAVIGATION;14
264;1176;653;21;NAVIGATION;15
265;692;653;21;NAVIGATION;16
266;788;380;21;SPECIAL;17
267;1040;381;21;SPECIAL;18
268;2396;381;21;SPECIAL;19
269;1766;946;21;SPECIAL;20
270;1661;228;21;SPECIAL;21
271;1751;228;21;SPECIAL;22
272;692;377;21;NAVIGATION;23
273;1086;250;21;NAVIGATION;24
274;2352;259;21;NAVIGATION;25
275;718;256;21;NAVIGATION;1
276;1213;256;21;NAVIGATION;2
277;1592;256;21;NAVIGATION;3
278;1635;297;21;NAVIGATION;4
279;2273;297;21;NAVIGATION;5
280;2323;297;21;NAVIGATION;6
281;2378;250;21;NAVIGATION;7
282;2713;250;21;NAVIGATION;8
283;2713;662;21;NAVIGATION;9
284;3053;662;21;NAVIGATION;10
285;2273;662;21;NAVIGATION;11
286;2273;724;21;NAVIGATION;12
287;1213;724;21;NAVIGATION;13
288;1213;656;21;NAVIGATION;14
289;718;656;21;NAVIGATION;15
290;820;392;21;SPECIAL;16
291;1073;392;21;SPECIAL;17
292;2421;392;21;SPECIAL;18
293;1792;951;21;SPECIAL;19
294;1691;236;21;SPECIAL;20
295;1779;236;21;SPECIAL;21
296;718;388;21;NAVIGATION;22
297;1110;256;21;NAVIGATION;23
298;1752;724;21;NAVIGATION;24
